ID,Name,Designator,Footprint,Quantity,Supplier,Supplier Part
1,220uF,"C1,C23,C50,C85",JLCPCB_lib:CAP-SMD_BD6.3-L6.6-W6.6-FD,4,LCSC,C3342
2,22uF,"C2,C3,C4,C5,C20,C24,C25,C26,C27,C51,C52,C53,C54,C265",JLCPCB_lib:C0805,14,LCSC,C45783
3,1uF,"C6,C10,C19,C28,C33,C48,C49,C56,C66,C74,C75,C79,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C173,C174,C175,C199,C200,C201,C208,C209,C210,C211,C212,C213,C214,C215,C216,C217,C218,C219,C220,C221,C222,C223,C224,C225,C226,C227,C228,C229,C230,C231,C232,C233,C234,C235,C236,C237,C238,C239,C240,C241,C242,C243,C249,C250,C251,C262,C263",JLCPCB_lib:C0402,131,LCSC,C52923
4,4.7nF,"C7,C29,C55",JLCPCB_lib:C0402,3,LCSC,C1538
5,2.2nF,"C8,C12,C30,C41,C57,C68",JLCPCB_lib:C0402,6,LCSC,C1531
6,1nF,"C9,C32,C65",My_footprint_lib:C0402,3,LCSC,C1523
7,100nF,"C11,C17,C21,C22,C31,C40,C58,C67,C80,C82,C83,C84,C86,C87,C89,C90,C163,C169,C170,C171,C196,C197,C198,C246,C247,C248",JLCPCB_lib:C0402,26,LCSC,C307331
8,47uF,"C13,C42,C69",JLCPCB_lib:C1206,3,LCSC,C96123
9,100uF,"C14,C15,C43,C44,C70,C71",JLCPCB_lib:CASE-B_3528,6,LCSC,C7196
10,4.7uF,"C16,C45,C72",JLCPCB_lib:C0603,3,LCSC,C19666
